id;date;timestamp;likes;reposts;views;comments;text;attachments;link
583;09-04-2021 23:29:46;1618000186;0;0;;0;"Насколько актуальны тестировщики в век глобальной автоматизации? Смогут ли автотесты полностью заменить тестировщиков? В чём отличие автотестов тестировщиков и разработчиков?
https://www.youtube.com/watch?v=DgGWNxBGmIU";['Часть 13 Нужны ли тестировщики'];https://vk.com/wall-113913953_<built-in function id>
581;22-03-2021 21:16:02;1616436962;0;1;;0;"Влияние автотестов на качество кода.
На конкретном примере показано влияние unit-тестов и функциональных тестов на качество кода. Пример написан в стиле TDD.
https://www.youtube.com/watch?v=b8m4PUDophU&t=735s";['Часть 12 Влияние автотестов на качество кода'];https://vk.com/wall-113913953_<built-in function id>
580;06-03-2021 21:07:19;1615054039;0;0;;0;"https://www.youtube.com/watch?v=LW6GoraFwfY
Рассмотрены общие принципы написания автотестов для существующего кода любого качества.
Часть 10: https://www.youtube.com/watch?v=KLZ8q...​";['Часть 11 Автотесты для legacy кода'];https://vk.com/wall-113913953_<built-in function id>
579;05-03-2021 11:43:58;1614933838;0;0;;0;"Делаем тесты частью приложения!

Из статьи вы узнаете:
- Как написать сотни и тысячи тестов всего в одну строчку
- Какое новое API отлично бы подошло для Django
- Что такое ""Монадические законы как значения""

Внутри несколько практических примеров как использовать Property-Based тесты для тестироварования ваших приложений. Примеры на Django, deal и dry-python/returns

https://habr.com/ru/post/545646/";[];https://vk.com/wall-113913953_<built-in function id>
575;14-01-2021 12:08:44;1610615324;1;1;;0;"Полный разбор линейной регрессии и методов регуляризации в Python от [club197837145|IT Resume] 💥

Недавно [club197837145|IT Resume] публиковали задачку по методам регуляризации в рубрике GROK IT и все поддержали идею разобрать кейс на эту тему. И вот, разбор уже перед Вами ☺

Это полноценный гайд, в котором мы рассмотрим:

✓ Как реализовать линейную регрессию в Python
✓ Три вида регуляризаций: Lasso, Ridge и ElasticNet
✓ Как реализовать регуляризации в Python
✓ Как оценить регрессионную модель
✓ Какие ограничения существуют у каждого алгоритма
✓ Как выбрать подходящий алгоритм

Для тех, кто привык разбираться с алгоритмами, вооружившись кодом, ссылка на notebook 👉🏻 https://bit.ly/38EJTTh

PS. В конце статьи - задачка на самостоятельное изучение, попробуйте 😉 И не забудьте подписаться на [club197837145|IT Resume], будем рады видеть Вас! ☺

#itresume

https://vk.com/@itresume-polnyi-razbor-lineinoi-regressii-i-metodov-regulyarizacii-v";[];https://vk.com/wall-113913953_<built-in function id>
564;07-12-2020 11:40:21;1607330421;0;0;;0;Здравствуйте, можете подсказать: как совершить обработку события удерживания клавиши мыши? Python 3.7;[];https://vk.com/wall-113913953_<built-in function id>
555;03-11-2020 21:59:22;1604429962;0;0;;0;"Простой практический пример использования преобразования Фурье для восстановления зашумленного аудиосигнала с помощью Python и библиотеки SciPy.

https://proglib.io/p/preobrazovaniya-fure-dlya-obrabotki-signalov-s-pomoshchyu-python-2020-11-03";[];https://vk.com/wall-113913953_<built-in function id>
525;27-09-2020 23:27:10;1601238430;0;0;;0;Добрый вечер! Подскажите пожалуйста какой компилятор использовать для создания exe из Python? Система -MacOS;[];https://vk.com/wall-113913953_<built-in function id>
490;07-09-2020 18:20:17;1599492017;0;0;;0;Создание Discord Бота На Python | Бот Для Игры В Города;['Создание Discord Бота На Python | Бот Для Игры В Города'];https://vk.com/wall-113913953_<built-in function id>
483;11-08-2020 12:35:52;1597138552;0;0;;0;"Подробная инструкция построения генеративно-состязательных нейросетей (GAN) на примере двух моделей, реализованных с помощью фреймворка глубокого обучения PyTorch.

https://proglib.io/p/generativno-sostyazatelnaya-neyroset-vasha-pervaya-gan-model-na-pytorch-2020-08-11";[];https://vk.com/wall-113913953_<built-in function id>
482;24-07-2020 15:14:02;1595592842;0;0;;0;Django остаётся самым популярным Python веб-фреймворком в мире, однако архитектура большинства проектов на нём, мягко говоря, оставляет желать лучшего. В этом мастер-классе мы на живом примере поговорим о структуре Django проекта, бизнес-логике в Django, а также о хороших практиках проектирования кода.;['Мастер-класс о бизнес-логике в Django и архитектуре Django проектов — на настоящем примере'];https://vk.com/wall-113913953_<built-in function id>
